year,economy,series,Country,Series,value
2015,QAT,NE.IMP.GNFS.CD,Qatar,Imports of goods and services (current US$),59271428571.0
2016,QAT,NE.IMP.GNFS.CD,Qatar,Imports of goods and services (current US$),63475274725.0
2017,QAT,NE.IMP.GNFS.CD,Qatar,Imports of goods and services (current US$),62192582418.0
2018,QAT,NE.IMP.GNFS.CD,Qatar,Imports of goods and services (current US$),65810989011.0
2019,QAT,NE.IMP.GNFS.CD,Qatar,Imports of goods and services (current US$),66769780220.0
2020,QAT,NE.IMP.GNFS.CD,Qatar,Imports of goods and services (current US$),59064560440.0
2015,PAN,NE.IMP.GNFS.CD,Panama,Imports of goods and services (current US$),28263800000.0
2016,PAN,NE.IMP.GNFS.CD,Panama,Imports of goods and services (current US$),26310600000.0
2017,PAN,NE.IMP.GNFS.CD,Panama,Imports of goods and services (current US$),28379492400.0
2018,PAN,NE.IMP.GNFS.CD,Panama,Imports of goods and services (current US$),
2019,PAN,NE.IMP.GNFS.CD,Panama,Imports of goods and services (current US$),
2020,PAN,NE.IMP.GNFS.CD,Panama,Imports of goods and services (current US$),
2015,THA,NE.IMP.GNFS.CD,Thailand,Imports of goods and services (current US$),229553000000.0
2016,THA,NE.IMP.GNFS.CD,Thailand,Imports of goods and services (current US$),221169000000.0
2017,THA,NE.IMP.GNFS.CD,Thailand,Imports of goods and services (current US$),247430000000.0
2018,THA,NE.IMP.GNFS.CD,Thailand,Imports of goods and services (current US$),283801000000.0
2019,THA,NE.IMP.GNFS.CD,Thailand,Imports of goods and services (current US$),272917000000.0
2020,THA,NE.IMP.GNFS.CD,Thailand,Imports of goods and services (current US$),231736000000.0
2015,GHA,NE.IMP.GNFS.CD,Ghana,Imports of goods and services (current US$),21091211320.0
2016,GHA,NE.IMP.GNFS.CD,Ghana,Imports of goods and services (current US$),20603408037.0
2017,GHA,NE.IMP.GNFS.CD,Ghana,Imports of goods and services (current US$),22151751019.0
2018,GHA,NE.IMP.GNFS.CD,Ghana,Imports of goods and services (current US$),23220563123.0
2019,GHA,NE.IMP.GNFS.CD,Ghana,Imports of goods and services (current US$),26908215747.0
2020,GHA,NE.IMP.GNFS.CD,Ghana,Imports of goods and services (current US$),24550159768.0
2015,MEX,NE.IMP.GNFS.CD,Mexico,Imports of goods and services (current US$),439822000000.0
2016,MEX,NE.IMP.GNFS.CD,Mexico,Imports of goods and services (current US$),432377000000.0
2017,MEX,NE.IMP.GNFS.CD,Mexico,Imports of goods and services (current US$),469597000000.0
2018,MEX,NE.IMP.GNFS.CD,Mexico,Imports of goods and services (current US$),517203000000.0
2019,MEX,NE.IMP.GNFS.CD,Mexico,Imports of goods and services (current US$),507719000000.0
